,phase,epoch,Metric,Performance,config_str
0,train,0,loss,1.319365958868652,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_10_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_490977
1,train,1,loss,1.351172495053183,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_10_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_490977
2,train,0,value,0.9567596064134979,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_10_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_490977
3,train,1,value,1.1582791779945771,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_10_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_490977
4,train,0,empirical_value,0.025416480595918233,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_10_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_490977
5,train,1,empirical_value,0.6006990528535805,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_10_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_490977
0,val,0,loss,1.5736927887556376,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_10_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_490977
1,val,1,loss,1.2895794113924461,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_10_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_490977
2,val,0,value,0.8145297812829853,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_10_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_490977
3,val,1,value,1.2392360160148252,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_10_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_490977
4,val,0,empirical_value,0.03330195717582195,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_10_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_490977
5,val,1,empirical_value,0.7271471242211615,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_10_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_490977
