,phase,Metric,Performance,config_str
0,train,loss,1.3337958481893852,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
1,train,loss,1.3500988297049215,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
2,train,loss,1.3249545145820674,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
3,train,loss,1.3221997130008665,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
4,train,loss,1.3210785426998741,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
5,train,value,1.3337958481893852,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
6,train,value,1.3500988297049215,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
7,train,value,1.3249545145820674,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
8,train,value,1.3221997130008665,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
9,train,value,1.3210785426998741,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
10,train,empirical_value,1.3337958481893852,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
11,train,empirical_value,1.3500988297049215,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
12,train,empirical_value,1.3249545145820674,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
13,train,empirical_value,1.3221997130008665,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
14,train,empirical_value,1.3210785426998741,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
0,val,loss,1.5538151650248189,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
1,val,loss,1.297372658299082,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
2,val,loss,1.2933375312703659,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
3,val,loss,1.2922734700791545,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
4,val,loss,1.292206204120554,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
5,val,value,1.5538151650248189,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
6,val,value,1.297372658299082,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
7,val,value,1.2933375312703659,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
8,val,value,1.2922734700791545,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
9,val,value,1.292206204120554,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_415018
