,phase,Metric,Performance,config_str
0,train,loss,1.3528428921366882,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
1,train,loss,1.3710514191786474,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
2,train,loss,1.3355954749521057,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
3,train,loss,1.332148585158585,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
4,train,loss,1.3319675861457483,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
5,train,value,1.3528428921366882,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
6,train,value,1.3710514191786474,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
7,train,value,1.3355954749521057,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
8,train,value,1.332148585158585,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
9,train,value,1.3319675861457483,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
10,train,empirical_value,1.3528428921366882,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
11,train,empirical_value,1.3710514191786474,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
12,train,empirical_value,1.3355954749521057,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
13,train,empirical_value,1.332148585158585,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
14,train,empirical_value,1.3319675861457483,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
0,val,loss,1.6503936502072072,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
1,val,loss,1.3082961169333638,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
2,val,loss,1.3045188505549514,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
3,val,loss,1.3020730212864637,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
4,val,loss,1.302202318049014,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
5,val,value,1.6503936502072072,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
6,val,value,1.3082961169333638,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
7,val,value,1.3045188505549514,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
8,val,value,1.3020730212864637,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
9,val,value,1.302202318049014,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
10,val,empirical_value,1.6503936502072072,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
11,val,empirical_value,1.3082961169333638,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
12,val,empirical_value,1.3045188505549514,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
13,val,empirical_value,1.3020730212864637,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
14,val,empirical_value,1.302202318049014,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3174279
