,phase,Metric,Performance,config_str
0,train,loss,1.338797075505987,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8384624
1,train,loss,1.376390591377784,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8384624
2,train,loss,1.3284938322827784,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8384624
3,train,loss,1.3256741922000708,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8384624
4,train,loss,1.3242363846129936,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8384624
5,train,value,1.338797075505987,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8384624
6,train,value,1.376390591377784,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8384624
7,train,value,1.3284938322827784,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8384624
8,train,value,1.3256741922000708,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8384624
9,train,value,1.3242363846129936,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8384624
10,train,empirical_value,1.338797075505987,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8384624
11,train,empirical_value,1.376390591377784,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8384624
12,train,empirical_value,1.3284938322827784,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8384624
13,train,empirical_value,1.3256741922000708,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8384624
14,train,empirical_value,1.3242363846129936,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8384624
0,val,loss,1.6402784685273497,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8384624
1,val,loss,1.3014826783382294,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8384624
2,val,loss,1.2966462915238972,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8384624
3,val,loss,1.295582913229873,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8384624
