,phase,epoch,Metric,Performance,config_str
0,train,0,loss,1.3517631315793919,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_488146
1,train,1,loss,1.3607533059704764,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_488146
2,train,0,value,0.9895503415968809,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_488146
3,train,1,value,1.2727655256595392,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_488146
4,train,0,empirical_value,0.047212541764347415,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_488146
5,train,1,empirical_value,0.7077197263607969,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_488146
0,val,0,loss,1.5890132146579583,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_488146
1,val,1,loss,1.3010456424896646,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_488146
2,val,0,value,0.880046944828092,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_488146
3,val,1,value,1.304991286169421,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_488146
4,val,0,empirical_value,0.06061996552204769,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_488146
5,val,1,empirical_value,0.7838459559570438,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_488146
