,phase,Metric,Performance,config_str
0,train,loss,1.4839243793996153,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_655394
1,train,loss,1.4338167298842968,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_655394
2,train,loss,1.3510498621579765,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_655394
3,train,loss,1.3470446703339582,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_655394
4,train,loss,1.3454061733393128,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_655394
5,train,value,1.4839243793996153,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_655394
6,train,value,1.4338167298842968,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_655394
7,train,value,1.3510498621579765,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_655394
8,train,value,1.3470446703339582,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_655394
9,train,value,1.3454061733393128,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_655394
10,train,empirical_value,1.4839243793996153,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_655394
