,phase,Metric,Performance,config_str
0,train,loss,1.3841855823572562,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
1,train,loss,1.40004533931733,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
2,train,loss,1.3414110774007861,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
3,train,loss,1.3376558877134297,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
4,train,loss,1.3353955798373944,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
5,train,value,1.3841855823572562,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
6,train,value,1.40004533931733,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
7,train,value,1.3414110774007861,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
8,train,value,1.3376558877134297,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
9,train,value,1.3353955798373944,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
10,train,empirical_value,1.3841855823572562,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
11,train,empirical_value,1.40004533931733,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
12,train,empirical_value,1.3414110774007861,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
13,train,empirical_value,1.3376558877134297,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
14,train,empirical_value,1.3353955798373944,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
0,val,loss,1.6683116385734191,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
1,val,loss,1.3126430745744657,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
2,val,loss,1.308293422046923,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
3,val,loss,1.304725047631786,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
4,val,loss,1.3030927714696316,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
5,val,value,1.6683116385734191,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
6,val,value,1.3126430745744657,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
7,val,value,1.308293422046923,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
8,val,value,1.304725047631786,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
9,val,value,1.3030927714696316,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0272963
