,phase,epoch,Metric,Performance,config_str
0,train,0,loss,1.3133860759105283,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_10_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6074674
1,train,1,loss,1.3456947917809188,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_10_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6074674
2,train,0,value,1.0190851415871591,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_10_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6074674
3,train,1,value,1.3358821997693346,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_10_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6074674
4,train,0,empirical_value,0.07736461591636434,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_10_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6074674
5,train,1,empirical_value,0.7016674496797173,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_10_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6074674
0,val,0,loss,1.593768948542303,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_10_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6074674
1,val,1,loss,1.2943267384961537,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_10_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6074674
2,val,0,value,0.8931319620372573,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_10_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6074674
3,val,1,value,1.3652672766663034,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_10_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6074674
4,val,0,empirical_value,0.07691121894481116,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_10_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6074674
5,val,1,empirical_value,0.7472638546993446,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_10_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6074674
