config_str,phase,Metric,Performance,action_dim,batch_size,drop_prob,gamma,hidden_dim,lr,num_epochs,num_hidden,option,state_dim,target_update,use_scheduler
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8027897,train,loss,1.4897351532949206,25,512,0.0,0.9,128,0.0001,2,1,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8027897,train,loss,1.4170021210294086,25,512,0.0,0.9,128,0.0001,2,1,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8027897,train,value,1.4897351532949206,25,512,0.0,0.9,128,0.0001,2,1,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8027897,train,value,1.4170021210294086,25,512,0.0,0.9,128,0.0001,2,1,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8027897,train,empirical_value,1.4897351532949206,25,512,0.0,0.9,128,0.0001,2,1,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8027897,train,empirical_value,1.4170021210294086,25,512,0.0,0.9,128,0.0001,2,1,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8027897,val,loss,1.6678468030697247,25,512,0.0,0.9,128,0.0001,2,1,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8027897,val,loss,1.3160888094008885,25,512,0.0,0.9,128,0.0001,2,1,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8027897,val,value,1.6678468030697247,25,512,0.0,0.9,128,0.0001,2,1,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8027897,val,value,1.3160888094008885,25,512,0.0,0.9,128,0.0001,2,1,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8027897,val,empirical_value,1.6678468030697247,25,512,0.0,0.9,128,0.0001,2,1,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_8027897,val,empirical_value,1.3160888094008885,25,512,0.0,0.9,128,0.0001,2,1,linear,46,10,False
