config_str,phase,epoch,Metric,Performance,action_dim,batch_size,drop_prob,gamma,hidden_dim,lr,num_epochs,num_hidden,option,state_dim,target_update,use_scheduler
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_2594717,train,0,loss,1.3785868548464473,25,512,0.0,0.9,128,0.0001,2,2,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_2594717,train,1,loss,1.3967271863718298,25,512,0.0,0.9,128,0.0001,2,2,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_2594717,train,0,value,1.1995191916209464,25,512,0.0,0.9,128,0.0001,2,2,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_2594717,train,1,value,1.4463710199302462,25,512,0.0,0.9,128,0.0001,2,2,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_2594717,train,0,empirical_value,0.1702087950866857,25,512,0.0,0.9,128,0.0001,2,2,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_2594717,train,1,empirical_value,0.7879092260688771,25,512,0.0,0.9,128,0.0001,2,2,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_2594717,val,0,loss,1.662701775229697,25,512,0.0,0.9,128,0.0001,2,2,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_2594717,val,1,loss,1.3070419994811076,25,512,0.0,0.9,128,0.0001,2,2,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_2594717,val,0,value,1.1027011625354342,25,512,0.0,0.9,128,0.0001,2,2,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_2594717,val,1,value,1.5397649462415837,25,512,0.0,0.9,128,0.0001,2,2,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_2594717,val,0,empirical_value,0.17281580039642241,25,512,0.0,0.9,128,0.0001,2,2,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_2_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_2594717,val,1,empirical_value,0.9876164474409215,25,512,0.0,0.9,128,0.0001,2,2,linear,46,10,False
