,phase,Metric,Performance,config_str
0,train,loss,1.5055251857693803,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3292098
1,train,loss,1.4240274521665037,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3292098
2,train,value,1.5055251857693803,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3292098
3,train,value,1.4240274521665037,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3292098
4,train,empirical_value,1.5055251857693803,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3292098
5,train,empirical_value,1.4240274521665037,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3292098
0,val,loss,1.7180584067087945,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3292098
1,val,loss,1.3177851752102558,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3292098
2,val,value,1.7180584067087945,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3292098
3,val,value,1.3177851752102558,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3292098
4,val,empirical_value,1.7180584067087945,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3292098
5,val,empirical_value,1.3177851752102558,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3292098
