,phase,Metric,Performance,config_str
0,train,loss,1.3483736586072848,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6151292
1,train,loss,1.3928162449368113,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6151292
2,train,loss,1.3395300297579107,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6151292
3,train,loss,1.3359281733683612,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6151292
4,train,loss,1.3337953082610159,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6151292
5,train,value,1.3483736586072848,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6151292
6,train,value,1.3928162449368113,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6151292
7,train,value,1.3395300297579107,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6151292
8,train,value,1.3359281733683612,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6151292
9,train,value,1.3337953082610159,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6151292
10,train,empirical_value,1.3483736586072848,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6151292
11,train,empirical_value,1.3928162449368113,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6151292
12,train,empirical_value,1.3395300297579107,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6151292
13,train,empirical_value,1.3359281733683612,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6151292
14,train,empirical_value,1.3337953082610159,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6151292
0,val,loss,1.6469087961874331,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6151292
1,val,loss,1.3085698458653023,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6151292
2,val,loss,1.3047560157893014,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_5_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_6151292
