,phase,epoch,Metric,Performance,config_str
0,train,0,loss,1.4187670347897363,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0074353
1,train,1,loss,1.400452379928261,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0074353
2,train,0,value,1.1420507823072024,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0074353
3,train,1,value,1.520848865199896,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0074353
4,train,0,empirical_value,0.05199164164759591,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0074353
5,train,1,empirical_value,0.8397636091644164,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0074353
0,val,0,loss,1.736154371591527,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0074353
1,val,1,loss,1.3186867197557994,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0074353
2,val,0,value,1.0737901654433815,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0074353
3,val,1,value,1.576266676279027,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0074353
4,val,0,empirical_value,0.06527686104437712,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0074353
5,val,1,empirical_value,0.9822102713609303,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0074353
