,phase,epoch,Metric,Performance,config_str
0,train,0,loss,1.3120733929970252,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_512_lr_0.0001_num_epochs_2_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_146886
1,train,1,loss,1.330457738760053,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_512_lr_0.0001_num_epochs_2_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_146886
2,train,0,value,0.9389300747079311,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_512_lr_0.0001_num_epochs_2_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_146886
3,train,1,value,1.2110156381872088,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_512_lr_0.0001_num_epochs_2_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_146886
4,train,0,empirical_value,0.11589832266287953,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_512_lr_0.0001_num_epochs_2_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_146886
5,train,1,empirical_value,0.6904720338465289,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_512_lr_0.0001_num_epochs_2_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_146886
0,val,0,loss,1.5159575721014487,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_512_lr_0.0001_num_epochs_2_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_146886
1,val,1,loss,1.2890465993110087,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_512_lr_0.0001_num_epochs_2_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_146886
2,val,0,value,0.8050274691781831,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_512_lr_0.0001_num_epochs_2_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_146886
3,val,1,value,1.2516919123357735,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_512_lr_0.0001_num_epochs_2_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_146886
4,val,0,empirical_value,0.10420684921826896,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_512_lr_0.0001_num_epochs_2_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_146886
5,val,1,empirical_value,0.7285870576466118,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_512_lr_0.0001_num_epochs_2_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_146886
